date,retweets,favorites,text,mentions,hashtags,permalink
2018-02-15,2,13,The 1 Bitcoin Show with Adam Meister- Tip for the 20%- Get more BTC instead of obsessing over price Ethereum Monero https://buff.ly/2o93uSZ @ TechBalt @ acast @ iTunespic.twitter.com/5tIMCXEHAZ,@ @ @,, https://twitter.com/WorldCryptoNet/status/964280745576591360
2018-02-15,3,15,If you buy # Bitcoin to make fiat gains then you really don't get Bitcoin. Bitcoin is replacing fiat so why do you want fiat gains? pic.twitter.com/VwqjZ99vcY,,#, https://twitter.com/Anders_/status/964280704459620352
2018-02-15,19,49,After each $300USD purchase of tokens you are allotted a FREE SIM card. It can be inserted into any unlocked smartphone which in turn replaces your existing service provider. # mobilinkcoin # ico # bitcoin # blockchain # cryptocurrency # decentralized # toronto # ontario # oakville # CApic.twitter.com/jwhoXPPG41,,# # # # # # # # # #, https://twitter.com/mobilinkcoin/status/964280697551773697
2018-02-15,1,2,Two Hour Lull Update: CryptoCompare Bitcoin price: $10104.33 # bitcoin,,#, https://twitter.com/Winkdexer/status/964280416202084353
2018-02-15,5,8,Read this and learn about major corps getting involved in blockchain. THEN INVEST... # blockchain # cryptocurrency # bitcoin # investing # AI # ether Large Corporations Are Embracing Blockchain https://seekingalpha.com/article/4147300?source=ansh … $ COIN $ GBTC $ BITCF $ BTCS $ IBM $ KODK,,# # # # # #, https://twitter.com/JeffEsTake/status/964280160907218944
2018-02-15,0,13,Found this George Lucas Storm Trooper figure we got given after shipping The Force Unleashed. Is it worth a million bitcoin yet? pic.twitter.com/mjS0EPWoMt,,, https://twitter.com/Doom_Squid/status/964280123213033472
2018-02-15,1,10,Feel free to follow whoever you like.,,, https://twitter.com/Bitcoin/status/964280023443234816
2018-02-15,1,3,First Person To Beat New Video Game Wins A Bitcoin Developer Says (via @ NewsfusionApps # Bitcoin News) http://go.newsfusion.com/vc-news/item/3596460 …,@,#, https://twitter.com/Kells_Crypto/status/964279824973000704
2018-02-15,1,4,Alpacas: the unofficial mascot of bitcoin? http://bit.ly/2drJEMw via @ CoinDesk Go Alpacas！ # Bitcoin # BTC # ETH # Alpaca # Crypto # altcoins # game,@,# # # # # # #, https://twitter.com/Crypto__Alpaca/status/964279800629116929
2018-02-15,5,6,Bitcoin leaves elite haters behind as it hits $10000 again http://www.cream.technology/crypto-news/96-bitcoin/997-bitcoin-leaves-elite-haters-behind-as-it-hits-10-000-again … @ creamcoin # BTC # elite # cryptocurrency # exchanges # Binance # Bittrex CREAMcoin PRESSpic.twitter.com/8ORE8hoom4,@,# # # # # #, https://twitter.com/CreamPress/status/964279687836065799
2018-02-15,6,146,My girlfriend asked me what the Bitcoin price was earlier "what's the price because I am thinking I will sell at 9500 when I have some profit" ... "It's 10k babe" ... "Oh ok I will keep it for now" Fuckin lol,,, https://twitter.com/CryptoCobain/status/964279653845340160
2018-02-15,3,17,Agreed. Nothing in Bitcoin is official.,,, https://twitter.com/Bitcoin/status/964279561872650240
2018-02-15,16,55,Bitcoin is a system described by Satoshi Nakamoto. Bitcoin Cash and Bitcoin Core are both different implementations of this system. Bitcoin Cash bears much more resemblance to the system described by Satoshi than Bitcoin Core does.,,, https://twitter.com/Bitcoin/status/964279362358005763
2018-02-15,2,2,The Economist: Bitcoin has become a combination of a bubble a Ponzi scheme and an environmental disaster # bitcoin # blockchain # IoThttps://twitter.com/TheEconomist/status/964245988293660674 …,,# # #, https://twitter.com/sm_udell/status/964279222192803846
2018-02-15,2,4,$ BTCUSD Dot Com Bubble vs. # Crypto Bubble. We are in the very early stages # bitcoin # moonpic.twitter.com/6hhpGq90lK,,# # #, https://twitter.com/gregmcleodtradr/status/964279186096615424
2018-02-15,1,4,“It’s like trying to buy a unicorn with a bucket of # bitcoin.” - Things you would be hearing if you were with us listening to @ JulesBoykoff on # PyeongChang2018 # OlympicWinterGames,@,# # #, https://twitter.com/rosaluxnyc/status/964278972451258368
2018-02-15,0,8,You sold 'the dip' again didn't you $ BTCUSD # Bitcoin $ LTCUSD # Litecoin just stop trying to trade these tiny swings you're only going to get rektpic.twitter.com/I6I06o55hA,,# #, https://twitter.com/Fab00se/status/964278592183119873
2018-02-15,10,46,Thanks to Bitcoin as a programmable money and lightning as a programmable medium of exchange it's now much easier to use Bitcoin as the economy of an MMO since virtual items can be now be accurately priced in satoshis or millisatoshis.,,, https://twitter.com/jb55/status/964278485626712064
2018-02-15,0,2,Refuse to invest in bitcoin but just spent 50$ on NBA 2K virtual currency.,,, https://twitter.com/TylerTooWyler/status/964278219666018312
2018-02-15,3,8,@ BandmanJeff in @ EmbassyPty ¡Special Meetup! talking about regulations and # cryptocurrencys # panama # blockchain # embassy # bitcoin @ CFTCpic.twitter.com/jMEm2KbhpQ,@ @ @,# # # # #, https://twitter.com/EmbassyPty/status/964278134605565953
2018-02-15,3,4,The US’s leading Bitcoin exchange is draining tens of thousands of dollars from users’ bank accounts http://www.cream.technology/exchanges/996-the-us-s-leading-bitcoin-exchange-is-draining-tens-of-thousands-of-dollars-from-users-bank-accounts … @ creamcoin # Coinbase # cryptocurrency # exchanges # draining # Dollar CREAMcoin PRESS,@,# # # # #, https://twitter.com/CreamPress/status/964278004737298433
