date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2016-01-07 22:00:28,bitcoinprice,,0,4,1,"The average price of Bitcoin across all exchanges is 455.53 USD",,,,685219476682477569,https://twitter.com/bitcoinprice/status/685219476682477569
2016-01-07 22:00:23,Vindyne8,,0,11,9,"Take part in http://Forkpay.net ICO and share the profits. Visit http://bit.ly/1I2Wg4K #bitcoin #blockchain #altcoin #altcoins #doge",,,#bitcoin #bitcoin #blockchain #altcoin #altcoins #doge,685219454557356032,https://twitter.com/Vindyne8/status/685219454557356032
2016-01-07 22:00:16,BlockTribune,,0,0,2,"#Bitcoin price appears to have made a downside break of the consolidation pattern recently http://goo.gl/OysGGs #fintech",,,#Bitcoin #Bitcoin #fintech,685219423653728257,https://twitter.com/BlockTribune/status/685219423653728257
2016-01-07 21:58:57,BitPay,,0,17,18,"A Simple, Adaptive Block Size Limit https://medium.com/@spair/a-simple-adaptive-block-size-limit-748f7cbcfb75#.1m0pv03g0 #Bitcoin ",,,#Bitcoin #Bitcoin,685219092396142592,https://twitter.com/BitPay/status/685219092396142592
2016-01-07 21:58:26,moggy,,0,1,2,"I really feel like this might be the year I become a bitcoin millionaire.",,,,685218963496763392,https://twitter.com/moggy/status/685218963496763392
2016-01-07 21:55:12,UPSLongitudes,,0,0,2,"A virtual currency like #Bitcoin could open up an array of new markets: http://bit.ly/1OGsdli",,,#Bitcoin #Bitcoin,685218152205185025,https://twitter.com/UPSLongitudes/status/685218152205185025
2016-01-07 21:53:31,DigitalMintIO,,0,3,4,"New #Bitcoin ATM location added at @SuccezZTheStore in #Chicago (1329 S Michigan Ave) http://www.digitalmint.io/bitcoin-atm-locations/chicago-south-loop/",,@SuccezZTheStore,#Bitcoin #Bitcoin #Chicago,685217727968063489,https://twitter.com/DigitalMintIO/status/685217727968063489
2016-01-07 21:47:02,IBMSecurity,,0,12,12,"Digital currency divide: Bitcoin, #Decred and the virtual finance future: http://ibm.co/1mml9V3 #investment",,,#Decred #investment,685216093934227456,https://twitter.com/IBMSecurity/status/685216093934227456
2016-01-07 21:46:29,TheLTBNetwork,,0,1,4,"Daily Decrypt: 15 Charts That Show #Bitcoin in 2015 http://bit.ly/1ITn0us @BTCTN @TexorionBtc @TheDailyDecrypt",,@BTCTN @TheDailyDecrypt,#Bitcoin #Bitcoin,685215955748704256,https://twitter.com/TheLTBNetwork/status/685215955748704256
2016-01-07 21:46:05,CCNMarkets,,0,9,2,"CEX.IO Bitcoin Exchange Presents Mobile Apps for iOS and Android https://www.cryptocoinsnews.com/cex-io-bitcoin-exchange-presents-mobile-apps-for-ios-and-android/ #cryptocurrency",,,#cryptocurrency,685215855752380418,https://twitter.com/CCNMarkets/status/685215855752380418
2016-01-07 21:44:49,OpenOutcrier,,0,0,2,"This Time Bitcoin's Price Increase is Both Logical and Sustainable Read more: http://stks.co/a36IC http://stks.co/d36Hn",,,,685215537505243136,https://twitter.com/OpenOutcrier/status/685215537505243136
2016-01-07 21:37:53,CryptoHustle,,1,0,5,"Bullish pop on #bitcoin, yet it still needs to break through resistance. ",,,#bitcoin #bitcoin,685213791525535744,https://twitter.com/CryptoHustle/status/685213791525535744
